Prop_Addr,Delta,SalePrice,Value
5332 TABOR DR,30K,272K,overvalued by 
3015 VALLEY VIEW RD,31K,271K,overvalued by 
2719 CAMBRIDGE DR,31K,270K,overvalued by 
3008 EISENHOWER CIR,32K,292K,overvalued by 
519 OLIVER CIR,32K,256K,overvalued by 
2402 SUNCREST DR,32K,270K,overvalued by 
2838 BUCKINGHAM CT,32K,260K,overvalued by 
305 TOPAZ CT,33K,271K,overvalued by 
3019 BECKLEY ST,33K,275K,overvalued by 
3119 HARRISON RD,34K,270K,overvalued by 
2304 COTTONWOOD RD,34K,281K,overvalued by 
3121 BECKLEY ST,34K,275K,overvalued by 
2513 KINGSTON DR,34K,270K,overvalued by 
3211 TUPELO CIR,34K,270K,overvalued by 
3011 BECKLEY ST,35K,276K,overvalued by 
4831 HEMINGWAY DR,35K,272K,overvalued by 
2528 DALTON ST,35K,276K,overvalued by 
2329 SUNCREST DR,36K,282K,overvalued by 
1601 WOODHAVEN CIR,36K,275K,overvalued by 
609 SHELLEY AVE,36K,274K,overvalued by 
3038 HARRISON RD,36K,275K,overvalued by 
3115 COTTONTAIL LN,37K,266K,overvalued by 
2424 RIDGETOP CIR,37K,285K,overvalued by 
3226 SUMAC CIR,37K,290K,overvalued by 
4717 HEMINGWAY DR,37K,270K,overvalued by 
3133 SYCAMORE RD,37K,290K,overvalued by 
2877 GREENSBORO CIR,37K,270K,overvalued by 
3107 HARRISON RD,37K,284K,overvalued by 
4017 HASTINGS AVE,37K,280K,overvalued by 
4633 HEMINGWAY DR,38K,280K,overvalued by 
3211 MAGNOLIA CIR,38K,280K,overvalued by 
3044 BURNHAM DR,38K,278K,overvalued by 
503 BROWN CT,38K,275K,overvalued by 
3026 EVERGREEN CIR,38K,290K,overvalued by 
3105 ROXBORO DR,38K,279K,overvalued by 
3818 VALLEY VIEW RD,38K,285K,overvalued by 
3126 BURNHAM DR,38K,274K,overvalued by 
4929 UTAH DR,39K,277K,overvalued by 
1504 GOLDEN ASPEN DR,39K,275K,overvalued by 
1010 JARRETT CIR,39K,278K,overvalued by 
3424 OAKLAND ST,39K,260K,overvalued by 
3806 PHOENIX ST,39K,270K,overvalued by 
2200 VAN BUREN AVE,40K,300K,overvalued by 
3305 KENT AVE,40K,275K,overvalued by 
3142 BAYBERRY RD,40K,284K,overvalued by 
3116 BURNHAM DR,41K,280K,overvalued by 
4925 UTAH DR,41K,275K,overvalued by 
1111 OKLAHOMA DR,41K,270K,overvalued by 
3210 TUPELO CIR,41K,280K,overvalued by 
4316 HARRISON CIR,41K,275K,overvalued by 
2913 ARROWWOOD CIR,41K,290K,overvalued by 
3013 ALMOND RD,41K,291K,overvalued by 
4239 STONE BROOKE RD,42K,278K,overvalued by 
3118 MAPLEWOOD RD,42K,302K,overvalued by 
521 BROWN CT,43K,287K,overvalued by 
3902 VALLEY VIEW RD,43K,290K,overvalued by 
4521 CLEMENS BLVD,43K,285K,overvalued by 
4927 WESTBEND DR,43K,280K,overvalued by 
4915 WESTBEND DR,45K,279K,overvalued by 
3136 BAYBERRY RD,45K,286K,overvalued by 
3033 BURNHAM DR,45K,282K,overvalued by 
3616 JEWEL DR,45K,285K,overvalued by 
3133 MAPLEWOOD RD,45K,290K,overvalued by 
3140 BURNHAM DR,46K,286K,overvalued by 
3026 ROXBORO DR,47K,284K,overvalued by 
1701 AMHERST DR,47K,290K,overvalued by 
3139 SYCAMORE RD,47K,288K,overvalued by 
2505 CLAYTON DR,47K,272K,overvalued by 
2860 GREENSBORO CIR,47K,280K,overvalued by 
3003 ROXBORO DR,48K,284K,overvalued by 
1814 WATERBURY CIR,49K,286K,overvalued by 
4200 ARIZONA CIR,50K,302K,overvalued by 
2100 ASHMORE DR,50K,289K,overvalued by 
1018 OKLAHOMA DR,50K,301K,overvalued by 
3321 KINGMAN RD,51K,300K,overvalued by 
4115 WEMBLEY AVE,52K,296K,overvalued by 
3320 KINGMAN RD,53K,294K,overvalued by 
2507 BRADFORD DR,53K,285K,overvalued by 
2948 CYPRESS CIR,53K,302K,overvalued by 
3130 BAYBERRY RD,55K,300K,overvalued by 
2505 BRADFORD DR,55K,290K,overvalued by 
926 IDAHO AVE,55K,320K,overvalued by 
705 POE AVE,55K,293K,overvalued by 
1501 REAGAN DR,56K,306K,overvalued by 
2402 SUNDOWN DR,57K,305K,overvalued by 
5207 TABOR DR,57K,297K,overvalued by 
2410 KINGSTON DR,57K,291K,overvalued by 
502 BROWN CT,58K,300K,overvalued by 
3126 SYCAMORE RD,58K,315K,overvalued by 
2525 KINGSTON DR,58K,310K,overvalued by 
328 CRYSTAL ST,58K,300K,overvalued by 
3110 BAYBERRY RD,59K,315K,overvalued by 
618 AGG AVE,59K,315K,overvalued by 
2311 CAMDEN DR,59K,301K,overvalued by 
2616 DALTON ST,59K,298K,overvalued by 
2509 BRADFORD DR,59K,300K,overvalued by 
125 HARTFORD DR,60K,295K,overvalued by 
3217 RED FOX RD,60K,299K,overvalued by 
517 SMILEY AVE,60K,306K,overvalued by 
3327 PRESTON CIR,60K,309K,overvalued by 
3127 BECKLEY ST,60K,300K,overvalued by 
3107 RED FOX RD,61K,294K,overvalued by 
5213 TABOR DR,61K,295K,overvalued by 
4730 HEMINGWAY DR,61K,313K,overvalued by 
2614 CAMDEN DR,62K,312K,overvalued by 
4205 WEMBLEY AVE,62K,315K,overvalued by 
1506 GOLDEN ASPEN DR,63K,300K,overvalued by 
2154 ASHMORE DR,63K,315K,overvalued by 
2320 SUNCREST DR,66K,315K,overvalued by 
2417 BRADFORD DR,66K,305K,overvalued by 
4301 HARRISON CIR,66K,309K,overvalued by 
1109 OKLAHOMA DR,66K,317K,overvalued by 
3120 STOCKBURY ST,67K,306K,overvalued by 
3212 SUMAC CIR,67K,315K,overvalued by 
3102 ASPEN RD,67K,325K,overvalued by 
3113 HARRISON RD,67K,316K,overvalued by 
3115 BECKLEY ST,68K,317K,overvalued by 
2420 YORKSHIRE CIR,68K,307K,overvalued by 
3040 BAYBERRY RD,68K,322K,overvalued by 
3016 ALMOND RD,69K,327K,overvalued by 
3216 TUPELO CIR,69K,316K,overvalued by 
3202 ASPEN RD,69K,321K,overvalued by 
2315 SUNDOWN DR,70K,312K,overvalued by 
3032 BURNHAM DR,70K,310K,overvalued by 
3701 BRIDGEPORT DR,70K,320K,overvalued by 
509 SMILEY AVE,71K,318K,overvalued by 
4014 EDGEWATER DR,71K,325K,overvalued by 
3130 GREENWOOD RD,72K,334K,overvalued by 
2816 GREENSBORO DR,72K,319K,overvalued by 
3113 RED FOX RD,73K,316K,overvalued by 
2160 COUNTRY CLUB BLVD,74K,312K,overvalued by 
3126 RED FOX RD,74K,316K,overvalued by 
3807 HOOVER AVE,75K,318K,overvalued by 
3140 EVERGREEN RD,75K,330K,overvalued by 
2604 DALTON ST,75K,312K,overvalued by 
3403 HONEYSUCKLE RD,75K,333K,overvalued by 
2908 WESTON DR,76K,324K,overvalued by 
4017 WEMBLEY AVE,77K,326K,overvalued by 
3335 PRESTON CIR,77K,325K,overvalued by 
3039 BURNHAM DR,77K,320K,overvalued by 
3016 BECKLEY ST,78K,330K,overvalued by 
3215 HARRISON RD,79K,342K,overvalued by 
3520 STORY ST,79K,308K,overvalued by 
3209 WESTON DR,80K,325K,overvalued by 
3909 HOOVER AVE,80K,320K,overvalued by 
3220 MAGNOLIA CIR,80K,336K,overvalued by 
2802 THOMPSON DR,82K,345K,overvalued by 
3012 SEDWICK ST,84K,335K,overvalued by 
2878 GREENSBORO CIR,84K,324K,overvalued by 
3122 BAYBERRY RD,84K,337K,overvalued by 
2218 IRONWOOD CT,85K,335K,overvalued by 
3028 BAYBERRY RD,86K,340K,overvalued by 
3332 STOCKBURY ST,86K,343K,overvalued by 
2415 BRADFORD DR,86K,329K,overvalued by 
3830 PHOENIX ST,86K,328K,overvalued by 
5217 TABOR DR,87K,332K,overvalued by 
4303 WEMBLEY AVE,87K,338K,overvalued by 
2502 BRISTOL DR,89K,345K,overvalued by 
3112 WESTON DR,89K,335K,overvalued by 
2019 ASHMORE DR,90K,335K,overvalued by 
3015 BURNHAM DR,90K,337K,overvalued by 
2307 CLAYTON DR,90K,340K,overvalued by 
3811 HOOVER AVE,91K,334K,overvalued by 
2900 RIDGETOP RD,92K,341K,overvalued by 
3115 ASPEN RD,93K,350K,overvalued by 
3131 SEDWICK ST,94K,345K,overvalued by 
4008 EDGEWATER DR,96K,349K,overvalued by 
3218 BAYBERRY RD,96K,348K,overvalued by 
3118 ASPEN RD,96K,350K,overvalued by 
3108 BECKLEY ST,97K,350K,overvalued by 
2518 KINGSTON DR,97K,340K,overvalued by 
3321 FOXLEY DR,98K,350K,overvalued by 
3115 VALLEY VIEW RD,100K,350K,overvalued by 
3205 MAGNOLIA CIR,101K,355K,overvalued by 
3305 HARRISON RD,101K,354K,overvalued by 
2227 TIMBERLAND RD,101K,375K,overvalued by 
1407 PANORAMIC CT,102K,356K,overvalued by 
1408 EDGEWATER CT,105K,355K,overvalued by 
3118 GREENWOOD RD,106K,372K,overvalued by 
2116 COUNTRY CLUB BLVD,106K,381K,overvalued by 
3049 HARRISON RD,109K,360K,overvalued by 
4020 EDGEWATER DR,110K,362K,overvalued by 
3128 KINGMAN RD,111K,373K,overvalued by 
3210 FOXLEY DR,113K,370K,overvalued by 
2406 RIDGETOP CIR,113K,362K,overvalued by 
1801 WATERBURY CIR,116K,375K,overvalued by 
3313 STOCKBURY ST,116K,380K,overvalued by 
3106 STOCKBURY ST,118K,360K,overvalued by 
3214 HARRISON RD,120K,386K,overvalued by 
3101 BECKLEY ST,121K,379K,overvalued by 
3317 PRESTON CIR,122K,390K,overvalued by 
2311 COTTONWOOD RD,122K,370K,overvalued by 
2406 COTTONWOOD RD,123K,370K,overvalued by 
3033 STOCKBURY ST,123K,376K,overvalued by 
4017 VALLEY VIEW RD,124K,372K,overvalued by 
3332 FOXLEY DR,125K,374K,overvalued by 
3240 EVERGREEN RD,126K,384K,overvalued by 
3210 WESTON DR,127K,372K,overvalued by 
1214 ADAMS ST,127K,372K,overvalued by 
1401 PANORAMIC CT,127K,377K,overvalued by 
3815 VALLEY VIEW RD,128K,382K,overvalued by 
3110 KINGMAN RD,128K,385K,overvalued by 
3203 HARRISON RD,129K,378K,overvalued by 
2716 COTTONWOOD RD,130K,378K,overvalued by 
4302 HARRISON CIR,131K,378K,overvalued by 
3310 WESTON DR,131K,383K,overvalued by 
4013 FRANCES E DAVIS CT,136K,387K,overvalued by 
3106 SEDWICK ST,137K,399K,overvalued by 
3124 ALMOND RD,137K,405K,overvalued by 
3001 HEMLOCK CIR,137K,410K,overvalued by 
2901 CYPRESS CIR,139K,402K,overvalued by 
3031 BAYBERRY RD,140K,410K,overvalued by 
3226 OAKLAND ST,141K,415K,overvalued by 
3318 RIDGETOP RD,142K,403K,overvalued by 
4221 WEMBLEY AVE,147K,395K,overvalued by 
1316 KINYON CIR,148K,394K,overvalued by 
3301 FOXLEY DR,148K,412K,overvalued by 
3107 STOCKBURY ST,150K,404K,overvalued by 
3207 STOCKBURY ST,151K,395K,overvalued by 
3120 SYCAMORE RD,153K,430K,overvalued by 
3125 WHITETAIL LN,154K,410K,overvalued by 
3311 PRESTON CIR,154K,418K,overvalued by 
433 ASPEN RIDGE RD,156K,392K,overvalued by 
3323 STOCKBURY ST,156K,418K,overvalued by 
3217 KENT AVE,159K,419K,overvalued by 
3817 HOOVER AVE,161K,392K,overvalued by 
3728 BRIDGEPORT DR,162K,421K,overvalued by 
3334 WESTON DR,162K,415K,overvalued by 
3108 ROXBORO DR,168K,437K,overvalued by 
2624 COTTONWOOD RD,172K,425K,overvalued by 
3201 FOXLEY DR,177K,445K,overvalued by 
804 DUFF AVE,183K,475K,overvalued by 
3316 PRESTON CIR,185K,460K,overvalued by 
1309 KINYON CIR,187K,442K,overvalued by 
3332 SEDWICK ST,189K,452K,overvalued by 
3331 WESTON DR,189K,450K,overvalued by 
3218 WESTON DR,192K,440K,overvalued by 
3022 ALMOND RD,192K,466K,overvalued by 
3209 SEDWICK ST,193K,462K,overvalued by 
1303 KINYON CIR,197K,455K,overvalued by 
2426 YORKSHIRE CIR,200K,468K,overvalued by 
3308 SEDWICK ST,209K,479K,overvalued by 
532 WESTFIELD RD,210K,475K,overvalued by 
1210 KINYON CIR,215K,470K,overvalued by 
3807 BRIDGEPORT DR,226K,500K,overvalued by 
3305 PRESTON CIR,230K,500K,overvalued by 
4126 LAURA CT,257K,538K,overvalued by 
4008 FRANCES E DAVIS CT,263K,535K,overvalued by 
3324 STOCKBURY ST,281K,555K,overvalued by 
2911 RIDGETOP RD,301K,584K,overvalued by 
4120 LAURA CT,320K,592K,overvalued by 
3327 GOLDENROD CIR,329K,625K,overvalued by 
3326 SEDWICK ST,332K,610K,overvalued by 
3320 FOXLEY DR,340K,615K,overvalued by 
4101 VALLEY VIEW RD,346K,612K,overvalued by 
3115 BALSAM CIR,442K,755K,overvalued by 
